Filename,Width,Height,Class,Upper left corner X,Upper left corner Y,Lower right corner X,Lower right corner Y
nightClip1--00000.jpg,1280,960,go,650,280,669,319
nightClip1--00000.jpg,1280,960,go,709,286,730,322
nightClip1--00000.jpg,1280,960,go,803,332,822,371
nightClip1--00000.jpg,1280,960,go,687,347,699,371
nightClip1--00000.jpg,1280,960,go,708,347,720,371
nightClip1--00001.jpg,1280,960,go,653,276,669,309
nightClip1--00001.jpg,1280,960,go,713,284,729,308
nightClip1--00001.jpg,1280,960,go,806,325,824,361
nightClip1--00001.jpg,1280,960,go,688,340,698,361
nightClip1--00001.jpg,1280,960,go,710,340,719,361
nightClip1--00002.jpg,1280,960,go,653,269,671,296
nightClip1--00002.jpg,1280,960,go,716,276,728,297
nightClip1--00002.jpg,1280,960,go,807,318,825,351
nightClip1--00002.jpg,1280,960,go,691,338,698,350
nightClip1--00003.jpg,1280,960,go,653,260,671,293
nightClip1--00003.jpg,1280,960,go,711,258,730,297
nightClip1--00003.jpg,1280,960,go,807,310,826,346
nightClip1--00003.jpg,1280,960,go,692,332,699,344
nightClip1--00003.jpg,1280,960,go,713,333,720,345
nightClip1--00004.jpg,1280,960,go,653,262,671,292
nightClip1--00004.jpg,1280,960,go,716,268,730,292
nightClip1--00004.jpg,1280,960,go,805,311,828,347
nightClip1--00005.jpg,1280,960,go,648,269,671,308
nightClip1--00005.jpg,1280,960,go,716,283,730,304
nightClip1--00005.jpg,1280,960,go,808,325,827,361
nightClip1--00005.jpg,1280,960,go,687,338,699,362
nightClip1--00005.jpg,1280,960,go,709,336,721,363
nightClip1--00006.jpg,1280,960,go,652,279,670,306
nightClip1--00006.jpg,1280,960,go,716,288,730,306
nightClip1--00006.jpg,1280,960,go,815,333,825,363
nightClip1--00006.jpg,1280,960,go,691,350,698,362
nightClip1--00006.jpg,1280,960,go,712,351,719,363
nightClip1--00007.jpg,1280,960,go,652,281,668,308
nightClip1--00007.jpg,1280,960,go,716,287,730,308
nightClip1--00007.jpg,1280,960,go,814,338,826,362
nightClip1--00008.jpg,1280,960,go,653,276,669,309
nightClip1--00008.jpg,1280,960,go,715,284,731,308
nightClip1--00008.jpg,1280,960,go,816,337,828,361
nightClip1--00008.jpg,1280,960,go,691,351,698,363
nightClip1--00008.jpg,1280,960,go,713,351,720,363
nightClip1--00009.jpg,1280,960,go,653,279,669,303
nightClip1--00009.jpg,1280,960,go,715,284,731,305
nightClip1--00009.jpg,1280,960,go,816,333,828,360
nightClip1--00009.jpg,1280,960,go,691,350,698,362
nightClip1--00009.jpg,1280,960,go,713,349,720,361
nightClip1--00010.jpg,1280,960,go,652,275,670,305
nightClip1--00010.jpg,1280,960,go,715,283,733,304
nightClip1--00010.jpg,1280,960,go,816,333,830,360
nightClip1--00010.jpg,1280,960,go,692,350,699,362
nightClip1--00011.jpg,1280,960,go,652,276,670,303
nightClip1--00011.jpg,1280,960,go,718,285,732,303
nightClip1--00011.jpg,1280,960,go,818,335,830,359
nightClip1--00011.jpg,1280,960,go,713,350,720,362
nightClip1--00012.jpg,1280,960,go,650,277,669,307
nightClip1--00012.jpg,1280,960,go,715,277,733,313
nightClip1--00012.jpg,1280,960,go,818,338,832,359
nightClip1--00012.jpg,1280,960,go,692,352,699,364
nightClip1--00012.jpg,1280,960,go,713,352,720,364
nightClip1--00013.jpg,1280,960,go,653,281,669,308
nightClip1--00013.jpg,1280,960,go,717,287,733,311
nightClip1--00013.jpg,1280,960,go,820,340,832,364
nightClip1--00013.jpg,1280,960,go,692,353,699,368
nightClip1--00013.jpg,1280,960,go,713,355,720,367
nightClip1--00014.jpg,1280,960,go,652,283,670,310
nightClip1--00014.jpg,1280,960,go,717,289,733,313
