Filename,Width,Height,Class,Upper left corner X,Upper left corner Y,Lower right corner X,Lower right corner Y
dayClip1--00000.jpg,1280,960,go,698,333,710,358
dayClip1--00000.jpg,1280,960,go,846,391,858,411
dayClip1--00001.jpg,1280,960,go,698,337,710,357
dayClip1--00001.jpg,1280,960,go,847,390,859,410
dayClip1--00002.jpg,1280,960,go,698,331,710,356
dayClip1--00002.jpg,1280,960,go,848,389,860,409
dayClip1--00003.jpg,1280,960,go,698,329,710,354
dayClip1--00003.jpg,1280,960,go,850,383,862,408
dayClip1--00004.jpg,1280,960,go,697,328,712,353
dayClip1--00004.jpg,1280,960,go,852,383,864,408
dayClip1--00005.jpg,1280,960,go,698,332,710,352
dayClip1--00005.jpg,1280,960,go,853,383,865,408
dayClip1--00006.jpg,1280,960,go,697,327,712,352
dayClip1--00006.jpg,1280,960,go,855,383,867,408
dayClip1--00007.jpg,1280,960,go,699,330,711,350
dayClip1--00007.jpg,1280,960,go,856,382,868,407
dayClip1--00008.jpg,1280,960,go,696,322,714,352
dayClip1--00008.jpg,1280,960,go,858,383,870,408
dayClip1--00009.jpg,1280,960,go,698,330,713,350
dayClip1--00009.jpg,1280,960,go,860,388,872,408
dayClip1--00010.jpg,1280,960,go,698,331,713,351
dayClip1--00010.jpg,1280,960,go,862,385,874,410
dayClip1--00011.jpg,1280,960,go,700,328,712,353
dayClip1--00011.jpg,1280,960,go,864,386,876,411
dayClip1--00012.jpg,1280,960,go,699,328,714,353
dayClip1--00012.jpg,1280,960,go,866,387,878,412
dayClip1--00013.jpg,1280,960,go,702,325,714,355
dayClip1--00013.jpg,1280,960,go,870,393,882,413
dayClip1--00014.jpg,1280,960,go,702,326,717,351
dayClip1--00014.jpg,1280,960,go,872,387,884,412
dayClip1--00015.jpg,1280,960,go,703,324,718,349
dayClip1--00015.jpg,1280,960,go,873,386,888,411
dayClip1--00016.jpg,1280,960,go,704,317,719,347
dayClip1--00016.jpg,1280,960,go,876,384,891,409
dayClip1--00017.jpg,1280,960,go,705,317,720,347
dayClip1--00017.jpg,1280,960,go,879,388,894,408
dayClip1--00018.jpg,1280,960,go,707,317,722,347
dayClip1--00018.jpg,1280,960,go,882,385,897,410
dayClip1--00019.jpg,1280,960,go,707,319,722,344
dayClip1--00019.jpg,1280,960,go,886,381,898,411
dayClip1--00020.jpg,1280,960,go,709,313,724,343
dayClip1--00020.jpg,1280,960,go,887,383,902,408
dayClip1--00021.jpg,1280,960,go,710,314,725,339
dayClip1--00021.jpg,1280,960,go,891,381,906,406
dayClip1--00022.jpg,1280,960,go,711,309,726,339
dayClip1--00022.jpg,1280,960,go,894,384,909,404
dayClip1--00023.jpg,1280,960,go,710,312,728,337
dayClip1--00023.jpg,1280,960,go,896,379,911,404
dayClip1--00024.jpg,1280,960,go,712,309,727,339
dayClip1--00024.jpg,1280,960,go,898,381,916,406
dayClip1--00025.jpg,1280,960,go,713,313,728,338
dayClip1--00025.jpg,1280,960,go,902,386,917,406
dayClip1--00026.jpg,1280,960,go,712,313,730,338
dayClip1--00026.jpg,1280,960,go,904,379,922,409
dayClip1--00027.jpg,1280,960,go,716,307,728,337
dayClip1--00027.jpg,1280,960,go,906,377,924,407
dayClip1--00028.jpg,1280,960,go,714,303,729,333
dayClip1--00028.jpg,1280,960,go,909,375,927,405
dayClip1--00029.jpg,1280,960,go,714,302,732,332
dayClip1--00029.jpg,1280,960,go,910,377,931,402
dayClip1--00030.jpg,1280,960,go,714,296,732,331
dayClip1--00030.jpg,1280,960,go,916,373,931,403
dayClip1--00031.jpg,1280,960,go,717,301,732,331
dayClip1--00031.jpg,1280,960,go,917,375,935,405
dayClip1--00032.jpg,1280,960,go,716,301,734,331
dayClip1--00032.jpg,1280,960,go,923,377,938,407
dayClip1--00033.jpg,1280,960,go,719,301,734,331
dayClip1--00033.jpg,1280,960,go,924,377,942,407
dayClip1--00034.jpg,1280,960,go,718,299,736,329
dayClip1--00034.jpg,1280,960,go,929,376,944,406
